timestamp,context_id,scenario_id,risk_level,control_allowed,need_human_review,blocked_reason
2026-06-18T02:07:51.537185+00:00,31184549-3c0f-4bc1-a5ba-529d4db197e5,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T03:03:58.140881+00:00,11be60f4-d295-4694-b683-f7cf4c4e31e9,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:03:58.140881+00:00,26d5dc62-c558-487a-9197-2d8b46c697f5,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T03:03:58.140881+00:00,9ae60d10-ace6-40d4-a09e-56746e8ac84e,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T03:04:17.609389+00:00,72a914cc-f954-4090-841d-9c60b1eb85ee,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:07:52.049787+00:00,2b4a72ef-6cfc-46dd-873d-0b73ff330fa1,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:08:43.258167+00:00,ee5c4d9e-62a1-4fe1-a0c5-7466a700261d,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:09:51.549245+00:00,08cf4b7f-b287-4997-aacd-0c58c22eae18,lab_overcrowded_high_co2,CRITICAL,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:10:04.738331+00:00,33b5b8b2-cd58-42b3-b567-3621fa1e207c,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T03:10:12.740551+00:00,fec47d03-e7f8-497b-9afb-877af6cbfd26,lab_overcrowded_high_co2,CRITICAL,False,True,LLM provider failed; fallback mock used. Original error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat
2026-06-18T03:10:14.822732+00:00,e9d3fa57-7faa-4c35-b3bf-390a5d2881f6,lab_overcrowded_high_co2,HIGH,False,True,LLM provider failed; fallback mock used. Original error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat
2026-06-18T04:33:43.032121+00:00,d092646c-8cb9-42c6-9e8b-177e3a2965e3,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T04:33:46.080758+00:00,b57bbff9-8f45-45d2-8295-c752739a8660,fall_or_bending_ambiguity,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: fall_confidence < 0.6."
2026-06-18T04:33:49.168571+00:00,fcc3f1e8-da4f-448a-a69e-1064b683a137,ppe_danger_zone,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: vision_confidence < 0.6."
2026-06-18T04:33:54.199673+00:00,b2dd396e-5522-4ff3-87e4-70f69a30a325,greenhouse_leaf_disease_risk,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:42.349410+00:00,a61dc86c-8248-4615-a7f4-51e70534ce1f,greenhouse_leaf_disease_risk,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:43.073098+00:00,4d843b10-41be-4fb1-9c6d-199627a96ae2,greenhouse_leaf_disease_risk,HIGH,False,False,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:43.142028+00:00,6e8b0dc7-4b48-4fdf-8314-96b8e42b3d3a,greenhouse_leaf_disease_risk,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:43.370486+00:00,62b22c11-3a63-42d3-b3ef-794ebd050967,greenhouse_leaf_disease_risk,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:43.736477+00:00,c47e2c8f-f039-455e-a966-1b669bb665cf,greenhouse_leaf_disease_risk,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:43.824601+00:00,ebcb3b56-69cc-424e-a11b-c5dd32ec95d9,greenhouse_leaf_disease_risk,HIGH,False,False,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:43.989976+00:00,e0cf1d6b-b579-4bf5-b591-c517ed21f963,greenhouse_leaf_disease_risk,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:44.148202+00:00,3c501da3-96fa-4283-a5bb-9694d9d0b49a,greenhouse_leaf_disease_risk,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:44.303764+00:00,4832f9b0-86b7-4903-8576-e3de0d67f5f4,greenhouse_leaf_disease_risk,HIGH,False,False,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:44.503588+00:00,c67b3dc6-b0d8-4cca-a4c8-9f623f442d98,greenhouse_leaf_disease_risk,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:44.683717+00:00,d00e8947-a5a0-4c69-8b25-007a8515b1bb,greenhouse_leaf_disease_risk,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:44.833185+00:00,a272ef14-67b6-422e-9ee5-4c55f19553b5,greenhouse_leaf_disease_risk,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:44.977196+00:00,3194fa9a-4de1-4656-9f6e-6ba8032167bc,greenhouse_leaf_disease_risk,HIGH,False,False,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:45.122979+00:00,f6f0ae5f-8b36-456c-9f63-7e5a06e98aae,greenhouse_leaf_disease_risk,LOW,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:45.323429+00:00,4a855673-8e57-4dfa-b0c2-8438f8459894,greenhouse_leaf_disease_risk,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: leaf_spot_confidence < 0.6."
2026-06-18T04:35:45.521210+00:00,443aa5d4-268b-48a4-8efd-492b47e23146,greenhouse_leaf_disease_risk,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T04:35:45.718039+00:00,fd2aabc2-b7fe-47fc-befa-2560909ce372,greenhouse_leaf_disease_risk,HIGH,False,False,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
